Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	U235 (at/m3)	U238 (at/m3)	Intergranular vented fraction (/)	Intergranular venting probability (/)	
0	1775	3e+18	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4e+13	0	0	0	0	0	0	0.5	0	1	0	7.209709e+26	2.301694e+28	0	0.5162015	
60	1775	3e+18	0	1.179847e-05	1.5552e+23	1.295178e+23	1.295178e+23	0	1.352788e+22	1.247431e+22	1.944e+22	1.618973e+22	1.618973e+22	0	1.690985e+21	1.559289e+21	0.08021033	1.274135e+24	0	0	3.987413e+13	1501.051	3595.147	7.268501e-09	9.739744e-17	2.712117e-25	0.003883638	0.5	2.749764e-06	1	0.02199041	7.209709e+26	2.301694e+28	0	0.4797408	
120	1775	3e+18	0	1.34775e-05	3.1104e+23	2.812101e+23	4.125328e+21	2.770847e+23	1.558654e+22	1.424339e+22	3.888e+22	3.515126e+22	5.15666e+20	3.463559e+22	1.948317e+21	1.780423e+21	0.04579278	1.32424e+24	0	0	3.979447e+13	1979.554	6441.859	8.45722e-09	1.3186e-16	4.272252e-25	0.005247299	0.5	3.784353e-06	1	0.04398083	7.209709e+26	2.301694e+28	0	0.4621729	
180	1775	3e+18	0	1.460427e-05	4.6656e+23	4.322577e+23	6.104639e+21	4.26153e+23	1.805217e+22	1.625017e+22	5.832e+22	5.403221e+22	7.630799e+20	5.326913e+22	2.256521e+21	2.031271e+21	0.03482976	1.326211e+24	1.319054e-10	1.274936e-05	3.972409e+13	2488.78	9292.756	9.396422e-09	1.627732e-16	5.859512e-25	0.006466015	0.5	4.781418e-06	1	0.06597124	7.209709e+26	2.301694e+28	0	0.4487031	
240	1775	3e+18	0	1.538971e-05	6.2208e+23	5.832813e+23	6.49231e+21	5.76789e+23	2.057612e+22	1.822262e+22	7.776e+22	7.291016e+22	8.115387e+20	7.209862e+22	2.572015e+21	2.277827e+21	0.02929304	1.044197e+24	1.648884e-10	1.960837e-05	3.965608e+13	2994.437	12319.45	1.020937e-08	1.921567e-16	7.515721e-25	0.007620184	0.5	5.809937e-06	1	0.08796166	7.209709e+26	2.301694e+28	0	0.4386722	
300	1775	3e+18	0	1.593109e-05	7.776e+23	7.333584e+23	9.989063e+21	7.233694e+23	2.367036e+22	2.057121e+22	9.72e+22	9.16698e+22	1.248633e+21	9.042117e+22	2.958795e+21	2.571401e+21	0.02645475	9.793515e+23	1.863325e-10	2.65395e-05	3.958145e+13	3572.646	15931.21	1.102751e-08	2.241884e-16	9.471239e-25	0.0088737	0.5	7.059502e-06	1	0.1099521	7.209709e+26	2.301694e+28	0	0.4315022	
360	1775	3e+18	0	1.628456e-05	9.3312e+23	8.828464e+23	1.257048e+22	8.702759e+23	2.71285e+22	2.314508e+22	1.1664e+23	1.103558e+23	1.571311e+21	1.087845e+23	3.391063e+21	2.893135e+21	0.02480397	9.434249e+23	2.034604e-10	3.328403e-05	3.950095e+13	4193.972	20140.94	1.18347e-08	2.582094e-16	1.170699e-24	0.01019952	0.5	8.519185e-06	1	0.1319425	7.209709e+26	2.301694e+28	0	0.4267014	
420	1775	3e+18	0	1.6487e-05	1.08864e+24	1.031795e+24	1.503902e+22	1.016756e+24	3.091439e+22	2.593038e+22	1.3608e+23	1.289744e+23	1.879878e+21	1.270945e+23	3.864299e+21	3.241297e+21	0.02381906	9.165072e+23	2.184923e-10	4.004357e-05	3.941576e+13	4849.128	24928.6	1.262343e-08	2.937733e-16	1.420711e-24	0.0115793	0.5	1.018955e-05	1	0.1539329	7.209709e+26	2.301694e+28	0	0.4238653	
480	1775	3e+18	0	1.656496e-05	1.24416e+24	1.1802e+24	1.751099e+22	1.162689e+24	3.502212e+22	2.893763e+22	1.5552e+23	1.47525e+23	2.188874e+21	1.453362e+23	4.377765e+21	3.617203e+21	0.02325877	8.939146e+23	2.320435e-10	4.67835e-05	3.932683e+13	5531.91	30270.72	1.33903e-08	3.305511e-16	1.695684e-24	0.01299953	0.5	1.207716e-05	1	0.1759233	7.209709e+26	2.301694e+28	0	0.4226647	
540	1775	3e+18	0	1.656496e-05	1.39968e+24	1.328052e+24	2.001663e+22	1.308035e+24	3.945064e+22	3.217738e+22	1.7496e+23	1.660065e+23	2.502079e+21	1.635044e+23	4.931331e+21	4.022173e+21	0.0229891	8.742788e+23	2.444558e-10	5.349824e-05	3.92341e+13	6246.145	36198.25	1.414109e-08	3.686578e-16	1.997203e-24	0.01446396	0.5	1.419113e-05	1	0.1979137	7.209709e+26	2.301694e+28	0	0.4224878	
